epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6933,1.28266,3.99905,1.37329,0.00333,1,0.57354,0.36425,0.95236,3.73544,0.87179,0.00022,0.00022,0.00022
2,57.3372,1.12357,2.71711,1.0609,0.00333,1,0.82861,0.48141,1.26546,3.68715,1.03738,0.00043723,0.00043723,0.00043723
3,68.8689,1.01891,1.94576,1.04193,0.00333,1,0.75862,0.47733,1.14777,3.58339,0.98792,0.0006307,0.0006307,0.0006307
4,80.3647,1.0978,1.93719,1.05894,1,0.14913,0.71955,0.42203,1.17643,3.658,0.98081,0.00080041,0.00080041,0.00080041
5,91.8605,1.11164,1.84318,1.09294,1,0.1076,0.71058,0.51678,0.98069,3.43784,0.95504,0.00094636,0.00094636,0.00094636
6,102.889,1.13023,1.75372,1.12916,0.51582,0.05556,0.27529,0.18979,1.12055,3.50405,1.08514,0.00106855,0.00106855,0.00106855
7,114.392,1.03803,1.62104,1.0923,0.69251,0.3764,0.54929,0.35724,1.27615,3.337,1.2058,0.00116698,0.00116698,0.00116698
8,126.591,0.98444,1.46575,1.0391,1,0.41623,0.65099,0.45679,1.15179,3.2583,1.14119,0.00124165,0.00124165,0.00124165
9,138.984,1.01549,1.45562,1.07719,0.8987,0.44444,0.66627,0.44808,1.19377,3.1819,1.15518,0.001208,0.001208,0.001208
10,151.503,1.00511,1.44095,1.07274,1,0.7029,0.872,0.56242,1.15346,2.1843,1.11358,0.001109,0.001109,0.001109
11,164.051,0.84812,1.50738,1.0086,0.9832,0.72222,0.87899,0.63508,0.96416,2.27467,1.00883,0.00101,0.00101,0.00101
12,176.569,0.82848,1.37183,0.96892,0.98879,0.72222,0.81986,0.57443,1.17087,2.2465,1.12476,0.000911,0.000911,0.000911
13,189.691,0.85102,1.37679,0.99682,0.9331,0.77504,0.86712,0.59284,1.0846,1.89296,1.07118,0.000812,0.000812,0.000812
14,202.483,0.81145,1.28621,0.98026,0.93673,0.82313,0.91603,0.66001,0.98612,1.69389,1.05184,0.000713,0.000713,0.000713
15,216.083,0.75874,1.24858,0.95422,1,0.88809,0.98452,0.68758,1.01019,1.27191,1.04282,0.000614,0.000614,0.000614
16,229.445,0.71286,1.14214,0.93634,1,0.88026,0.97468,0.70606,0.98989,1.27747,1.10181,0.000515,0.000515,0.000515
17,243.044,0.69605,1.08876,0.90937,0.92746,0.88889,0.92306,0.63436,1.05252,1.36974,1.13598,0.000416,0.000416,0.000416
18,256.683,0.66601,1.06567,0.91899,0.9387,0.88889,0.9333,0.69379,1.00794,1.36271,1.09921,0.000317,0.000317,0.000317
19,269.907,0.66025,1.06018,0.90857,0.9366,0.94444,0.94094,0.67705,0.99981,1.24915,1.0899,0.000218,0.000218,0.000218
20,282.595,0.64862,1.02446,0.92706,0.93835,0.94444,0.98452,0.69164,1.00159,1.22438,1.06155,0.000119,0.000119,0.000119
